Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
node:X:child:Definite=Def,node:X:parent:position=before	     97	       12	 yes     	  0.021	 63.158	  12.37	   0.01
node:X:child:Voice=Act,node:X:own:VerbForm=Inf    	     55	        3	 no      	 -0.106	 37.681	  94.55	   0.23
node:X:child:upos=NOUN,node:X:child:rel_shallow=nsubj	     81	       12	 yes     	  0.014	 63.158	  14.81	   0.08
node:CLH:own:Tense=Pres,node:X:child:rel_shallow=conj	      7	        1	 yes     	 -0.070	  5.263	  14.29	   0.07
node:CLH:own:Tense=Past,node:X:own:Voice=Act      	     42	        3	 no      	 -0.031	 28.261	  92.86	   0.16
node:X:own:rel_shallow=advcl,node:X:child:rel_shallow=advmod	     35	        4	 no      	  0.165	 22.464	  88.57	   0.02
node:Y:own:Polarity=Neg,node:X:child:upos=INTJ    	      5	        2	 yes     	  0.013	 10.526	  40.00	   0.71
node:X:child:VerbForm=Inf,node:X:child:upos=SCONJ 	     28	        4	 yes     	  0.000	 21.053	  14.29	   0.07
node:X:child:upos=INTJ,node:Y:own:has_child=No    	      5	        2	 yes     	  0.001	 10.526	  40.00	   0.71
node:X:own:rel_shallow=ccomp,node:X:child:rel_shallow=advcl	     10	        2	 yes     	  0.014	 10.526	  20.00	   0.22
node:X:own:rel_shallow=advcl,node:X:child:Number=Plur	     15	        0	 no      	 -0.005	 10.870	 100.00	   0.51
node:X:child:Gender=Neut,node:X:child:rel_shallow=obl	     26	        4	 yes     	  0.527	 21.053	  15.38	   0.10
